pl_name,pl_mass,pl_mass_err1,pl_mass_err2,pl_rad,pl_rad_err1,pl_rad_err2,pl_instell,pl_orbital_period,pl_semi_major_axis,pl_eccentricity,pl_teq,st_age,st_age_upper,st_age_lower,st_mass,st_mass_err1,st_mass_err2,st_teff,st_teff_err1,st_teff_err2,st_met,st_met_err1,st_met_err2,pl_zbulk,pl_zbulk_err,pl_zbulk_rel,pl_zbulk_rel_err,pl_mbulk,pl_mbulk_err,R_mod,R_mod_err1,R_mod_err2,M_mod,M_mod_err1,M_mod_err2,age_mod,age_mod_err1,age_mod_err2,Tint_mod,Tint_mod_err1,Tint_mod_err2,CMF_mod,CMF_mod_err1,CMF_mod_err2,Zp_mod,Zp_mod_err,Zp_rel,Zp_rel_err,Mz_mod_obs,Mz_mod_obs_err,Mz_mod_mod,Mz_mod_mod_err,st_met_exp_err
CoRoT-10 b,2.73,0.14,0.14,0.97,0.07,0.07,45614227.90792104,13.2406,0.1055,0.524,669.6753595,3.0,3.0,0.0,0.89,0.05,0.05,5075.0,75.0,75.0,0.26,0.07,0.07,0.1266850657253731,0.051133914,4.972758694530868,2.0071554014213224,109.90348008845471,44.757535515105296,0.976945,0.061655000000000015,0.07137419999999994,2.6729,0.08549200000000035,0.1163839999999996,1.53,0.8671440000000004,0.5570788,251.40499999999997,44.434199999999976,40.92499999999998,0.351355,0.15299260000000003,0.14619339999999997,0.36043603,0.15085070359999997,14.1481664925695,6.345269726670103,312.9089350842,131.93897153609987,306.364209738666,128.91246627663867,
CoRoT-20 b,4.23,0.26,0.25,0.84,0.04,0.04,187874113.50901172,9.24285,0.0901,0.575,954.0166922,0.1,0.9,0.06,1.14,0.08,0.08,5880.0,90.0,90.0,0.14,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-30 b,2.9,0.22,0.22,1.009,0.076,0.076,145277568.05862153,9.06005,0.0844,0.007,894.620566,3.0,6.7,0.6000000000000001,0.98,0.03,0.05,5650.0,100.0,100.0,0.02,0.1,0.1,0.1054002522226751,0.0551012810052321,7.189747102674578,3.75866534573432,97.13827995074386,51.431040952652445,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-8 b,0.22,0.03,0.03,0.57,0.02,0.02,122000631.6,6.21229,0.063,0.0,856.4061102,3.0,,,0.88,0.04,0.04,5080.0,80.0,80.0,0.3,0.1,0.1,0.6860142757161503,0.03302342,24.558685505356728,1.1822083050338847,48.07123382607031,7.526465452,0.571465,0.019545000000000035,0.019845,0.219915,0.02826500000000004,0.028434999999999988,2.7412,0.9691000000000005,0.6111,104.495,10.625,10.055000000000007,0.77804,0.02856000000000003,0.028999999999999915,0.7811474399999999,0.028593999999999897,27.964366036330404,6.519891570187785,54.649074902399995,7.7159726389056535,54.62796048709679,7.340992656968659,
CoRoT-9 b,0.826,0.083,0.083,1.037,0.082,0.082,6689434.930349798,95.2738,0.4027,0.0,414.4160776,6.0,9.0,3.0,0.96,0.08,0.08,5625.0,80.0,80.0,-0.01,0.06,0.06,0.1006381818619534,0.081775812,7.355881875,5.9771868052438615,26.76207263356162,22.09936506227877,0.96598,0.0295200000000001,0.05664999999999998,0.82674,0.08618999999999999,0.07672000000000001,5.6856,2.4096320000000064,1.787516000000001,88.166,6.489000000000004,7.313999999999993,0.087334,0.101986,0.058451320000000015,0.100111324,0.10055819599999999,7.3173725926534345,7.419232199616314,26.296041252432,26.545257951282608,26.31959944919568,26.5790958889897,
HAT-P-12 b,0.2110100692259282,0.012001259,-0.012001259,0.9597321428571428,0.029017857,-0.020982143,190143199.65591723,3.2130598,0.0384,0.0,956.8843174,2.5,4.5,0.5,0.73,0.02,-0.02,4650.0,60.0,-60.0,-0.29,0.05,-0.05,0.085457623,0.053713971,11.902077440928958,7.480992630067097,5.729717639251472,3.616119413915568,0.9688,0.022179599999999966,0.02244999999999997,0.21084,0.011809600000000003,0.011669999999999986,1.3357,1.5091800000000002,0.8032788000000001,86.69149999999999,26.758100000000027,16.296419999999998,0.135415,0.07297220000000004,0.08309424000000001,0.14751919000000002,0.08193092064000003,20.545678284441507,11.653486033568795,9.89871496910881,5.52641489634957,9.890736834232802,5.5210975584715545,
HAT-P-15 b,1.940183134,0.3000283196979232,-0.30002832,1.060892857142857,0.070089286,-0.070089286,145921066.2749269,10.8635,0.095994768,0.19,895.6095916,6.5,9.3,4.9,1.0,0.23,-0.23,5568.0,90.0,-90.0,0.22,,,0.076287641,0.052219342,3.2834178026237373,2.247518930709695,47.70047284,33.96188080326759,1.0119,0.04069999999999996,0.061450000000000005,1.9432,0.3228,0.24530000000000007,7.2964,3.1066000000000003,1.6131000000000002,107.82,9.260000000000005,11.350999999999999,0.11133,0.12952160000000035,0.068634,0.12377138,0.1277082976000003,5.32711653576086,5.496561352865505,76.36424777543377,79.67323848482388,76.482989505888,79.93196261146808,0.0
HAT-P-17 b,0.5800547514159848,0.060005664,-0.060005664,1.0508035714285715,0.04,-0.04,81751723.10185856,10.33852,0.092566042,0.35,774.8425581,7.8,11.1,4.5,0.99,0.15,-0.15,5246.0,80.0,-80.0,0.0,,,0.0309273668738294,0.0278486117937221,2.2090976338449604,1.9891865566944396,5.916560933636634,5.435340096414061,0.98193,0.01312000000000002,0.019608799999999982,0.58859,0.06093880000000007,0.06304759999999998,6.91425,2.5216020000000006,1.5293700000000001,71.717,4.89876000000001,6.235439999999997,0.039831000000000005,0.04031144000000002,0.022124320000000006,0.053273366,0.03974707984000002,3.8052404285714285,2.839077131428573,9.826667164966844,7.4017817481870605,9.971262217072919,7.515806185522391,0.0
HAT-P-18 b,0.1970106985525487,0.013001888,-0.013001888,0.9958035714285716,0.052053571,-0.052053571,116868630.28071591,5.508023,0.0559,0.084,847.2541914,12.4,16.8,6.0,0.77,0.03,-0.03,4803.0,80.0,-80.0,0.1,0.08,-0.08,0.043452453,0.0382168122982966,2.465393599944296,2.1683352178353683,2.7211915125143817,2.4053556752974097,0.927465,0.016895400000000005,0.02181539999999993,0.19681,0.01257999999999998,0.013190000000000007,8.5577,3.0282999999999998,2.1110240000000005,49.096,4.641520000000007,4.630519999999997,0.0636195,0.06257130000000002,0.03938342,0.076728827,0.06169530180000002,4.353419550241056,3.5911350905379753,4.807015138431276,3.8781711459499815,4.8021181405146605,3.874625373289459,
HAT-P-20 b,7.22,0.36,0.36,1.025,0.053,0.053,195817874.5755826,2.87531694,0.03593,0.0172,963.9451455,6.7,12.4,2.9000000000000004,0.74,0.04,0.04,4595.0,45.0,45.0,0.22,0.09,0.09,0.020175721,0.0114885069149391,0.8683624200147986,0.4944649979484385,46.38160167837152,26.52676326592588,,,,,,,,,,,,,,,,,,,,,,,,
